OverviewPage,DateStart,Date,Region,Country,EventType,League,DateStart__precision,Date__precision
Upsurge Premier League/2018 Season/Spring Season,2018-04-02,2018-05-01,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2018 Season/Summer Playoffs,2018-07-31,2018-08-16,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2018 Season/Summer Season,2018-06-12,2018-07-26,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2019 Season/Fall Playoffs,2019-11-19,2019-12-17,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2019 Season/Fall Season,2019-10-01,2019-10-29,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2019 Season/Summer Playoffs,2019-07-11,2019-08-01,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2019 Season/Summer Season,2019-05-22,2019-06-27,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2019 Season/Winter Playoffs,2019-03-12,2019-03-28,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2019 Season/Winter Season,2019-01-22,2019-02-28,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2020 Season/Fall Playoffs,2020-11-03,2020-12-15,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2020 Season/Fall Season,2020-09-22,2020-10-27,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2020 Season/Spring Playoffs,2020-03-17,2020-04-21,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2020 Season/Spring Season,2020-02-04,2020-03-10,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2020 Season/Summer Playoffs,2020-06-23,2020-07-28,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2020 Season/Summer Season,2020-05-12,2020-06-16,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2021 Season/Fall Playoffs,2021-10-29,2021-11-19,North America,United States,Online,Unified Premier League,1,1
